User_ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,19,19000,0
15810944,Male,35,20000,0
15668575,Female,26,43000,0
15745408,Female,27,57000,0
15767440.5,Male,19,76000,0
15789473,Male,27,58000,0
15811505.5,Female,27,84000,0
15833538,Female,32,150000,1
15855570.5,Male,25,33000,0
15877603,Female,35,65000,0
15899635.5,Female,26,80000,0
15921668,Female,26,52000,0
15943700.5,Male,20,86000,0
15965733,Male,32,18000,0
15987765.5,Male,18,82000,0
16009798,Male,29,80000,0
16031830.5,Male,47,25000,1
16053863,Male,45,26000,1
16075895.5,Male,46,28000,1
